time_s,dx,dy,alt_mm
0.032,0,0,166
0.074,-1,0,166
0.132,0,0,166
0.169,0,0,166
0.219,0,0,166
0.247,0,-1,166
0.284,0,0,166
0.319,1,0,166
0.359,1,0,165
0.4,0,4,165
0.451,0,-3,165
0.477,0,-4,165
0.536,1,0,165
0.565,0,0,164
0.607,0,0,164
0.653,0,1,164
0.691,1,5,164
0.746,2,-3,164
0.771,0,-1,164
0.809,2,2,164
0.846,1,1,164
0.9,2,-1,164
0.949,0,4,163
0.985,2,0,163
1.02,0,0,163
1.052,1,-1,163
1.12,0,0,163
1.133,0,0,165
1.186,0,0,165
1.241,0,0,165
1.269,0,-1,165
1.306,0,0,165
1.359,0,0,167
1.4,0,-1,167
1.435,0,0,167
1.479,0,0,167
1.513,-1,1,167
1.574,0,-1,165
1.602,0,0,165
1.642,0,0,165
1.678,0,0,165
1.722,0,-1,165
1.779,0,0,164
1.823,0,1,164
1.853,0,0,164
1.883,0,0,164
1.916,0,0,164
1.981,0,0,164
1.994,0,0,164
2.05,0,0,164
2.1,0,0,164
2.125,0,1,164
2.172,0,0,163
2.218,0,1,163
2.257,0,1,163
2.302,-1,0,163
2.359,0,0,163
2.381,0,0,166
2.428,0,0,166
2.468,0,0,166
2.491,0,1,166
2.566,0,0,166
2.607,0,0,166
2.633,0,0,166
2.687,0,0,166
2.719,0,0,166
2.742,0,0,164
2.796,0,0,164
2.838,0,0,164
2.864,0,0,164
2.915,0,0,164
2.948,0,0,165
2.996,1,0,165
3.045,0,0,165
3.103,0,0,165
3.127,0,0,165
3.163,0,0,163
3.197,0,0,163
3.231,0,0,163
3.289,-1,0,163
3.318,0,0,163
3.369,0,0,165
3.416,0,0,165
3.448,0,0,165
3.503,0,0,165
3.527,0,-2,165
3.572,0,1,165
3.617,0,-1,165
3.652,0,0,165
3.701,0,0,165
3.742,0,-2,165
3.776,-1,0,166
3.828,1,0,166
3.849,0,0,166
3.897,0,1,166
3.938,0,0,166
4.002,0,0,165
4.018,0,-1,165
4.058,1,0,165
4.103,0,0,165
4.159,0,0,166
4.181,0,0,166
4.238,0,1,166
4.295,0,0,166
4.319,0,1,166
4.35,0,-1,166
4.383,1,0,166
4.443,0,-1,166
4.481,0,0,166
4.529,0,0,166
4.563,1,0,166
4.603,0,0,166
4.636,0,1,166
4.685,0,0,166
4.733,0,0,166
4.757,0,0,165
4.812,0,0,165
4.862,0,-1,165
4.888,0,0,165
4.944,0,0,165
4.972,0,1,165
5.029,1,0,165
5.046,1,1,165
5.083,1,-1,165
5.131,0,0,165
5.198,0,-3,166
5.235,1,1,166
5.272,0,0,166
5.299,0,1,166
5.354,0,1,166
5.408,0,1,165
5.465,0,-2,165
5.465,0,3,165
5.505,0,0,165
5.565,1,0,165
5.586,0,0,167
5.654,0,0,167
5.678,0,-1,167
5.715,0,0,167
5.76,0,0,166
5.839,0,0,166
5.85,-1,1,166
5.868,0,-2,166
5.915,0,-1,166
