time_s,current_alt_cm,target_alt_cm,pid_thr_ibus,pid_thr_0_255
0.164,5.5,6,,
0.374,5.8,6,1192,48
0.635,5.5,6,1191,48
0.821,5.8,6,1193,49
1.04,5.5,6,1191,48
1.225,5.8,6,1193,49
1.441,5.8,6,1191,48
1.69,5.9,6,1192,48
1.878,6.0,16,1191,48
2.108,5.8,16,1257,65
2.299,5.6,16,1223,56
2.522,5.7,16,1220,56
2.727,5.6,16,1219,55
2.955,5.6,16,1221,56
3.172,5.8,16,1221,56
3.374,5.7,16,1220,56
3.605,5.8,16,1222,56
3.817,5.8,26,1222,56
4.012,6.0,26,1223,56
4.255,5.9,26,1255,65
4.44,5.9,26,1246,62
4.683,5.8,26,1246,62
4.892,6.0,26,1247,62
5.092,5.9,26,1247,62
5.337,5.9,26,1249,63
5.525,5.8,26,1250,63
5.754,5.9,26,1252,64
5.932,5.8,26,1253,64
6.155,5.7,26,1255,65
6.373,5.7,26,1256,65
6.581,5.8,26,1257,65
6.808,5.9,26,1259,66
7.01,5.9,26,1259,66
7.237,5.9,26,1261,66
7.459,5.8,36,1262,66
7.645,6.1,36,1332,84
7.863,5.9,36,1274,69
8.071,6.0,36,1272,69
8.309,6.2,36,1272,69
8.527,6.0,36,1273,69
