# Kp=1.2 Ki=0.05 Kd=2.0
time_s,current_alt_cm,target_alt_cm,pid_thr_ibus,pid_thr_0_255
0.22,6.1,25,,
0.409,6.1,25,1214,54
0.702,5.9,25,1232,59
0.834,5.9,25,1254,64
1.046,5.9,25,1274,69
1.301,5.8,25,1294,74
1.477,5.8,25,1314,80
1.715,6.2,25,1332,84
1.947,7.0,25,1350,89
2.137,10.5,25,1370,94
2.354,17.4,25,1396,100
2.564,24.1,25,1368,93
2.801,25.9,25,1343,87
3.038,19.9,25,1337,85
3.272,12.6,25,1377,96
3.475,14.1,25,1445,113
3.7,26.3,25,1431,109
3.9,37.7,25,1369,94
4.136,40.1,25,1305,77
4.36,24.6,25,1277,70
4.566,9.3,25,1364,92
4.767,27.1,25,1405,103
4.979,41.1,25,1341,86
5.217,37.6,25,1253,64
5.45,13.0,25,1274,69
5.607,18.4,25,1365,93
5.818,33.9,25,1349,88
6.046,34.7,25,1279,71
6.229,14.9,25,1277,70
6.48,10.2,25,1364,92
6.667,6.4,25,1402,102
6.901,5.6,25,1484,123
7.125,5.4,25,1539,137
7.336,5.6,25,1582,148
7.542,5.4,25,1628,160
7.737,5.5,25,1636,162
7.963,5.5,25,1636,162
8.18,5.4,25,1636,162
8.411,5.6,25,1636,162
8.634,5.6,25,1636,162
8.805,5.5,25,1636,162
9.054,5.8,25,1636,162
9.235,5.6,25,1636,162
9.508,5.6,25,1636,162
9.66,5.5,25,1636,162
9.874,5.6,25,1636,162
10.098,5.8,25,1636,162
10.316,5.6,25,1636,162
10.523,5.6,25,1636,162
10.809,5.6,25,1636,162
10.952,5.7,25,1636,162
11.249,5.6,25,1636,162
