# Kp=? Ki=? Kd=?
time_s,current_alt_cm,target_alt_cm,pid_thr_ibus,pid_thr_0_255
0.046,6.1,5.9,,
0.242,5.8,5.9,,
0.425,5.8,5.9,1212,54
0.638,5.9,5.9,1230,58
0.858,5.8,5.9,1252,64
1.083,5.7,5.9,1272,69
1.324,5.8,5.9,1292,74
1.512,5.9,5.9,1312,79
1.704,5.7,5.9,1332,84
1.94,5.8,5.9,1352,89
2.161,5.8,5.9,1372,94
2.347,5.7,5.9,1392,99
2.562,5.8,5.9,1412,105
2.793,5.7,5.9,1432,110
3.008,5.8,5.9,1452,115
3.202,5.7,5.9,1472,120
3.431,5.7,5.9,1492,125
3.655,5.7,5.9,1512,130
3.852,5.9,5.9,1532,135
4.099,5.7,5.9,1552,140
4.264,5.7,5.9,1572,145
4.505,5.9,5.9,1592,150
4.711,5.8,5.9,1612,156
4.916,5.8,5.9,1627,159
5.127,6.0,5.9,1627,159
5.362,5.8,5.9,1627,159
5.581,5.7,5.9,1627,159
