# Kp=? Ki=? Kd=?
time_s,current_alt_cm,target_alt_cm,pid_thr_ibus,pid_thr_0_255
0.139,11.3,0,,
0.381,11.2,0,1470,119
0.536,11.2,0,1470,119
0.753,11.1,0,1470,119
0.967,11.2,0,1470,119
1.176,11.3,0,1470,119
1.411,11.2,0,1470,119
1.611,11.1,0,1470,119
1.822,11.3,0,1470,119
2.041,11.2,0,1469,119
2.272,11.3,0,1470,119
2.503,11.0,0,1470,119
2.713,10.9,0,1472,120
2.918,11.2,0,1474,120
3.131,11.1,0,1472,120
3.374,11.2,0,1473,120
3.578,11.3,0,1473,120
3.782,11.2,0,1474,120
4.039,11.2,0,1474,120
4.224,11.2,0,1476,121
4.441,11.2,0,1477,121
4.636,11.3,0,1477,121
4.873,11.2,0,1478,121
5.085,11.3,0,1480,122
5.297,11.2,0,1481,122
5.519,11.2,0,1482,122
5.725,11.2,0,1483,123
5.963,11.4,0,1484,123
6.189,11.0,0,1487,124
6.364,11.1,0,1491,125
6.6,11.2,0,1498,126
6.804,11.3,0,1501,127
7.026,11.1,0,1504,128
7.224,11.2,0,1508,129
7.445,11.2,0,1512,130
7.681,11.2,0,1516,131
7.873,11.1,0,1519,132
8.107,11.2,0,1523,133
8.303,11.2,0,1526,134
8.528,11.2,0,1530,135
8.765,11.2,0,1534,136
8.95,11.2,0,1523,133
9.181,11.2,0,1523,133
9.382,11.3,0,1524,133
9.599,11.1,0,1523,133
9.859,11.4,0,1524,133
10.033,11.2,0,1522,133
10.303,11.3,0,1524,133
10.484,11.2,0,1523,133
10.701,11.2,0,1524,133
10.894,11.3,0,1524,133
11.118,11.3,0,1523,133
11.322,11.3,0,1525,133
11.553,11.2,0,1526,134
11.767,11.2,0,1533,135
11.989,11.1,0,1541,137
12.197,11.2,0,1546,139
12.415,11.1,0,1548,139
12.622,11.3,0,1554,141
12.864,11.0,0,1556,141
13.057,11.1,0,1562,143
13.286,11.2,0,1559,142
13.514,11.2,0,1552,140
13.699,11.2,0,1552,140
13.946,11.2,0,1553,141
14.16,11.2,0,1552,140
14.362,11.3,0,1553,141
14.586,11.3,0,1552,140
14.804,11.0,0,1552,140
15.035,11.1,0,1553,141
15.235,11.2,0,1553,141
15.462,11.2,0,1551,140
15.652,11.1,0,1541,137
15.879,11.3,0,1536,136
16.102,11.3,0,1532,135
16.298,11.3,0,1528,134
16.523,11.3,0,1524,133
16.722,11.1,0,1521,132
16.944,11.2,0,1509,129
17.148,11.1,0,1503,128
17.358,11.0,0,1497,126
17.597,11.1,0,1491,125
17.786,11.0,0,1486,123
18.039,11.0,0,1502,128
18.243,11.2,0,1502,128
18.454,11.1,0,1501,127
18.684,11.2,0,1501,127
18.871,11.0,0,1501,127
19.111,11.0,0,1501,127
19.33,11.2,0,1501,127
19.528,11.2,0,1499,127
19.755,11.0,0,1500,127
19.958,11.1,0,1502,128
20.199,11.1,0,1501,127
20.402,11.2,0,1501,127
20.637,11.2,0,1501,127
20.84,10.9,0,1501,127
21.051,11.2,0,1502,128
21.285,11.1,0,1500,127
21.483,10.8,0,1501,127
21.705,10.9,0,1502,128
21.962,10.9,0,1501,127
22.14,10.8,0,1502,128
22.335,11.0,0,1502,128
22.557,11.3,0,1501,127
22.796,11.1,0,1501,127
22.992,11.3,0,1502,128
23.236,11.3,0,1501,127
23.425,11.4,0,1501,127
23.648,11.4,0,1500,127
23.886,11.2,0,1501,127
24.082,11.3,0,1501,127
24.284,11.2,0,1501,127
24.502,11.3,0,1501,127
24.71,11.2,0,1500,127
24.941,11.4,0,1501,127
25.148,11.5,0,1501,127
25.37,11.4,0,1500,127
25.568,11.3,0,1500,127
25.823,10.9,0,1501,127
26.024,10.9,0,1503,128
26.22,11.0,0,1501,127
26.442,10.9,0,1502,128
26.641,10.4,0,1502,128
26.866,10.7,0,1502,128
27.1,10.7,0,1498,126
27.308,10.7,0,1502,128
27.541,10.8,0,1499,127
27.727,11.2,0,1499,127
27.939,11.7,0,1498,126
28.162,12.3,0,1497,126
28.424,12.5,0,1500,127
28.613,12.5,0,1496,126
28.812,12.4,0,1499,127
29.028,12.1,0,1501,127
29.241,11.9,0,1501,127
29.462,11.9,0,1500,127
29.691,11.9,0,1500,127
29.883,11.8,0,1499,127
30.11,11.6,0,1501,127
30.322,11.5,0,1501,127
30.521,11.5,0,1501,127
30.743,11.3,0,1501,127
30.969,11.2,0,1502,128
31.191,11.4,0,1501,127
31.381,11.6,0,1500,127
31.606,11.8,0,1499,127
31.803,13.0,0,1500,127
32.019,10.8,0,1494,125
32.251,10.0,0,1509,129
32.467,10.2,0,1505,128
32.69,10.5,0,1502,128
32.887,10.7,0,1501,127
33.119,11.0,0,1499,127
33.353,11.4,0,1499,127
33.524,11.6,0,1500,127
33.762,13.3,0,1499,127
34.007,15.2,0,1490,124
34.195,15.2,0,1490,124
34.398,16.0,0,1495,126
34.623,16.0,0,1492,125
34.851,16.0,0,1494,125
35.033,16.5,0,1494,125
35.249,16.7,0,1492,125
35.494,17.2,0,1493,125
35.68,17.6,0,1492,125
35.904,17.6,0,1490,124
36.104,18.1,0,1491,125
36.36,18.7,0,1490,124
36.571,18.7,0,1490,124
36.757,19.6,0,1490,124
36.985,20.5,0,1488,124
37.185,20.9,0,1486,123
37.403,20.5,0,1485,123
37.65,19.3,0,1490,124
37.828,16.9,0,1494,125
38.05,11.5,0,1503,128
38.274,11.5,0,1511,130
38.485,11.6,0,1499,127
38.701,11.1,0,1500,127
38.914,11.0,0,1501,127
39.127,10.8,0,1500,127
39.337,10.5,0,1502,128
39.57,10.5,0,1503,128
39.786,10.7,0,1502,128
39.986,10.8,0,1500,127
40.22,10.8,0,1500,127
40.412,10.9,0,1500,127
40.658,10.8,0,1500,127
40.868,10.7,0,1501,127
41.075,10.8,0,1500,127
41.291,10.6,0,1500,127
41.486,10.8,0,1502,128
41.732,11.1,0,1500,127
41.914,11.5,0,1499,127
42.138,11.6,0,1499,127
42.349,11.8,0,1498,126
42.574,11.6,0,1498,126
42.778,11.3,0,1500,127
43.016,10.7,0,1502,128
43.24,10.5,0,1504,128
43.44,10.5,0,1501,127
43.645,11.6,0,1500,127
43.882,13.7,0,1496,126
44.075,15.1,0,1488,124
44.299,16.2,0,1489,124
44.509,18.0,0,1489,124
44.749,19.7,0,1487,124
44.932,21.6,0,1487,124
45.135,23.3,0,1483,123
45.389,24.8,0,1481,122
45.584,26.0,0,1479,122
45.798,27.8,0,1479,122
46.011,27.9,0,1474,120
46.211,28.8,0,1478,121
