# Kp=? Ki=? Kd=?
time_s,current_alt_cm,target_alt_cm,vel_cmd_cm_s,pid_thr_ibus,pid_thr_0_255
0.215,11.9,0,5.88,1629,160
0.413,11.7,0,6.35,1387,98
0.636,12.0,0,8.71,1408,104
0.868,11.9,0,8.71,1409,104
1.067,12.1,0,14.82,1414,105
1.293,12.1,0,20.0,1415,105
1.516,11.9,0,28.47,1427,108
1.713,11.9,0,32.24,1441,112
1.955,11.9,0,32.71,1452,115
2.158,11.8,0,5.41,1461,117
2.395,11.9,0,-0.0,1464,118
2.611,11.9,0,-0.0,1444,113
2.811,11.8,0,-0.0,1444,113
3.044,12.0,0,-0.0,1443,112
3.229,12.0,0,-0.0,1442,112
3.457,12.0,0,-0.0,1443,112
3.67,12.1,0,-0.0,1443,112
3.877,11.9,0,-0.0,1443,112
4.149,11.8,0,14.82,1444,113
4.316,11.7,0,28.94,1447,113
4.538,12.0,0,44.0,1469,119
4.742,11.9,0,52.47,1487,124
4.961,12.5,0,56.24,1510,130
5.184,13.4,0,56.24,1525,133
5.402,14.6,0,56.24,1536,136
5.653,16.2,0,55.76,1550,140
5.82,19.6,0,55.76,1560,142
6.065,23.8,0,32.71,1566,144
6.27,27.6,0,-0.0,1569,145
6.478,28.1,0,-0.0,1529,134
6.705,23.7,0,-0.0,1539,137
6.912,18.0,0,-0.0,1558,142
7.168,14.5,0,-0.0,1570,145
7.346,15.7,0,-0.0,1566,144
7.564,19.6,0,-0.0,1553,141
7.789,22.3,0,-0.0,1537,136
7.979,21.5,0,-0.0,1539,137
8.23,20.5,0,4.47,1550,140
8.435,19.1,0,25.65,1553,141
8.641,18.4,0,27.06,1565,144
8.856,20.5,0,32.71,1583,148
9.104,24.4,0,37.88,1583,148
9.303,28.7,0,41.18,1580,147
9.496,31.3,0,46.35,1574,146
9.698,31.6,0,38.82,1579,147
9.917,30.2,0,-0.0,1585,149
