# Kp=0.80 Ki=1.20 Kd=0.0
time_s,current_alt_cm,target_alt_cm,vel_cmd_cm_s,pid_thr_ibus,pid_thr_0_255
0.156,6.2,0,3.53,1501,127
0.346,6.4,0,3.53,1500,127
0.586,6.2,0,3.53,1501,127
0.767,6.2,0,3.53,1503,128
0.958,6.3,0,3.53,1504,128
1.172,6.2,0,3.53,1504,128
1.371,6.2,0,3.53,1506,129
1.555,6.2,0,3.53,1507,129
1.751,6.2,0,3.53,1508,129
1.962,6.2,0,3.53,1508,129
2.172,6.3,0,3.53,1509,129
2.365,6.3,0,3.53,1510,130
2.558,6.1,0,3.53,1512,130
2.759,6.2,0,3.53,1513,130
2.958,6.1,0,3.53,1513,130
3.171,6.1,0,3.53,1515,131
3.356,6.3,0,3.53,1516,131
